INDEX,Bill ID,Title,Sponsor,Last Action,Session,Year,SessionType,BillNum,Bill_Link,filename,sponsor_c
0,HB 1,FEED BILL,Rick Miera,SGND,2013 Regular,2013,Regular,1,https://www.nmles.gov/Sessions/13%20Regular/final/HB0001.pdf,Yr_13RHB0001.pdf,Rick Miera
1,HB 2,GENERAL APPROPRIATION ACT OF 2013,Henry Kiki Saavedra,SGND,2013 Regular,2013,Regular,2,https://www.nmles.gov/Sessions/13%20Regular/final/HB0002.pdf,Yr_13RHB0002.pdf,Henry Kiki Saavedra
2,HB 18,DRINKING WATER SYSTEM FINANCING,"Roberto ""Bobby"" J. Gonzales",SGND,2013 Regular,2013,Regular,18,https://www.nmles.gov/Sessions/13%20Regular/final/HB0018.pdf,Yr_13RHB0018.pdf,Roberto Bobby J. Gonzales
3,HB 21,PUBLIC MEETING AGENDAS 72 HOURS IN ADVANCE,"James E. Smith
Daniel A. Ivey-Soto",SGND,2013 Regular,2013,Regular,21,https://www.nmles.gov/Sessions/13%20Regular/final/HB0021.pdf,Yr_13RHB0021.pdf,James E. Smith
3,HB 21,PUBLIC MEETING AGENDAS 72 HOURS IN ADVANCE,"James E. Smith
Daniel A. Ivey-Soto",SGND,2013 Regular,2013,Regular,21,https://www.nmles.gov/Sessions/13%20Regular/final/HB0021.pdf,Yr_13RHB0021.pdf,Daniel A. Ivey-Soto
4,HB 22,AUTISM COVERAGE IN GROUP HEALTH COVERAGE,"James E. Smith
Bill B. O'Neill",SGND,2013 Regular,2013,Regular,22,https://www.nmles.gov/Sessions/13%20Regular/final/HB0022.pdf,Yr_13RHB0022.pdf,James E. Smith
4,HB 22,AUTISM COVERAGE IN GROUP HEALTH COVERAGE,"James E. Smith
Bill B. O'Neill",SGND,2013 Regular,2013,Regular,22,https://www.nmles.gov/Sessions/13%20Regular/final/HB0022.pdf,Yr_13RHB0022.pdf,Bill B. O'Neill
5,HB 34,TECOLOTE LAND GRANT MANAGEMENT,"Miguel P. Garcia
Richard C. Martinez",SGND,2013 Regular,2013,Regular,34,https://www.nmles.gov/Sessions/13%20Regular/final/HB0034.pdf,Yr_13RHB0034.pdf,Miguel P. Garcia
5,HB 34,TECOLOTE LAND GRANT MANAGEMENT,"Miguel P. Garcia
Richard C. Martinez",SGND,2013 Regular,2013,Regular,34,https://www.nmles.gov/Sessions/13%20Regular/final/HB0034.pdf,Yr_13RHB0034.pdf,Richard C. Martinez
6,HB 35,USE OF FUNDS BY LAND GRANT COUNCIL,"Miguel P. Garcia
Richard C. Martinez",POCKET VETO,2013 Regular,2013,Regular,35,https://www.nmles.gov/Sessions/13%20Regular/final/HB0035.pdf,Yr_13RHB0035.pdf,Miguel P. Garcia
