Name of Candidate/Public Official/Ballot Issue,Name of Candidate/Public Official/Ballot Issue2,SponsorLink_join,
Abbas Ahkil,Abbas Ahkil,Abbas Akhil,
Abbas Akhil,Abbas Akhil,Abbas Akhil,
Abbas Akhil ,Abbas Akhil,Abbas Akhil,
Abbas Akhil for NM,Abbas Akhil for NM,Abbas Akhil,
Abbas Akil,Abbas Akil,Abbas Akhil,
Committee to Elect Abbas A. Akhil,Committee to Elect Abbas A. Akhil,Abbas Akhil,
Committee to Re-elect Abbas Akhil,Committee to Re-elect Abbas Akhil,Abbas Akhil,
Rep. Alanzo Baldonado,Rep. Alanzo Baldonado,Alonzo Baldonado,
Rep. Alonzo Baldanado,Rep. Alonzo Baldanado,Alonzo Baldonado,
A. Baldonado,A. Baldonado,Alonzo Baldonado,
Alanzo Baldanado,Alanzo Baldanado,Alonzo Baldonado,
Alanzo Baldonado,Alanzo Baldonado,Alonzo Baldonado,
Alonso Balanado,Alonso Balanado,Alonzo Baldonado,
Alonso Baldonado ,Alonso Baldonado,Alonzo Baldonado,
Alonso Baldonado (In kind),Alonso Baldonado (In kind),Alonzo Baldonado,
Alonzo Baldanado,Alonzo Baldanado,Alonzo Baldonado,
Alonzo Baldenado,Alonzo Baldenado,Alonzo Baldonado,
Alonzo Baldona,Alonzo Baldona,Alonzo Baldonado,
Alonzo Baldonada,Alonzo Baldonada,Alonzo Baldonado,
Alonzo Baldonado,Alonzo Baldonado,Alonzo Baldonado,
Alonzo Baldonado ,Alonzo Baldonado,Alonzo Baldonado,
Alonzo Baldonado (for Isleta Pueblo),Alonzo Baldonado (for Isleta Pueblo),Alonzo Baldonado,
Alonzo Baldonado (on behalf of Occidental),Alonzo Baldonado (on behalf of Occidental),Alonzo Baldonado,
Alonzo Baldonado Campaign,Alonzo Baldonado Campaign,Alonzo Baldonado,
Alonzo Baldonado Committee,Alonzo Baldonado Committee,Alonzo Baldonado,
