Orig_empl,Employer,Interest2
(CIS) Communties in School,Communties in School,EDUCATION
(NWEA) NW Evaluation Assoc.,NWEA,EDUCATION
1 800 Contacts,1 800 Contacts,RETAIL & CONSUMER RIGHTS
1000 Friends of New Mexico,1000 Friends of New Mexico,ECONOMIC & SUSTAINABLE DEVELOPMENT
"1-800 Contacts, Inc.",1 800 Contacts,RETAIL & CONSUMER RIGHTS
3 Rivers Educational Foundation Inc,3 Rivers Educational Foundation Inc,EDUCATION
3M Company,3M Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
A & R Medical Supply,A & R Medical Supply,HEALTHCARE
AAA New Mexico,AAA New Mexico,TRANSPORTATION
AARP,AARP,"SENIOR, FAMILY & YOUTH ADVOCACY"
AARP New Mexico ,AARP,"SENIOR, FAMILY & YOUTH ADVOCACY"
AARP-Government Affairs ,AARP,"SENIOR, FAMILY & YOUTH ADVOCACY"
AAUW-NM,American Association of University Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Abbott Laboratories,Abbott Laboratories,PHARMACEUTICALS
AbbVie,AbbVie,PHARMACEUTICALS
"ABC, LLC ","ABC, LLC ",TRANSPORTATION
"Acadia Healthcare, Inc","Acadia Healthcare, Inc",HEALTHCARE
ACC Health LLC,ACC Health LLC,HEALTHCARE
Accreditation Association for Ambulatory Health Care (AAAHC),Accreditation Association for Ambulatory HEALTHCARE Care (AAAHC),HEALTHCARE
"Ace Cash Express, Inc. ","Ace Cash Express, Inc. ",BANKING & FINANCE
ACE leadership High School,ACE leadership High School,EDUCATION
Acess Financial,Acess Financial,BANKING & FINANCE
ACLU of New Mexico,ACLU of New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Addus HealthCarem Inc.,Addus HEALTHCAREm Inc.,HEALTHCARE
Administrative Office of the District Attorneys,Administrative Office of the District Attorneys,LAW ENFORCEMENT & CRIME
Admiral Beverage Corporation,Admiral Beverage Corporation,"ALCOHOL, CANNABIS, & TOBACCO"
Adocacy for Home & Hospice Svs of New Mexico,Adocacy for Home & Hospice Svs of New Mexico,HEALTHCARE
Adoption and Foster Care Alliance of New Mexico ,Adoption and Foster Care Alliance of New Mexico ,"SENIOR, FAMILY & YOUTH ADVOCACY"
"Advanced Air, LLC ","Advanced Air, LLC ",TRANSPORTATION
"Advanced Network Management, Inc.","Advanced Network Management, Inc.",INFORMATION TECHNOLOGY
Advantage Capital,Advantage Capital Partners,BANKING & FINANCE
Advantage Capital Partners,Advantage Capital Partners,BANKING & FINANCE
Advocacy for Home & Hospice Svs. of New Mexico,Advocacy for Home & Hospice Svs. of New Mexico,HEALTHCARE
Advocacy for Home Care Services,Advocacy for Home Care Services,HEALTHCARE
"Advocate 4 NM, Inc.","Advocate 4 NM, Inc.","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Affiliated Computer Services, Inc. & other Subsida","Affiliated Computer Services, Inc. & other Subsida",INFORMATION TECHNOLOGY
"Affordable Solar Group, Inc.","Affordable Solar Group, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
AFL-CIO NM Federation of Labor,AFL-CIO NM Federation of Labor,LABOR & WORKFORCE
AFSCME,AFSCME Council 18,LABOR & WORKFORCE
AFSCME Council 18,AFSCME International,LABOR & WORKFORCE
AFSCME International,"Agenda, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
AFT New Mexico ,AIA-NM,INDUSTRY
"Agenda, LLC",Giffords PAC,"FIREARMS, GUNS & AMMUNITION"
AIA-NM,AIG,BANKING & FINANCE
Aiffords - PAC,Air Methods Corportation,HEALTHCARE
AIG,Aircraft Owners and Pilots Association ,TRANSPORTATION
Air Methods Corportation,Aladdin Bail Bonds NM,BANKING & FINANCE
Aircraft Owners and Pilots Association ,Alarid Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Aladdin Bail Bonds NM,Albuquerque Bernalillo County Water Utility Authority,WATER RESOURCES
Alarid Consulting,Albuqeruqe Wildlife Federation,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Albuqerque Bernalillo County Water Utility Authori,Albuquerque Academy,EDUCATION
Albuqeruqe Wildlife Federation,Albuquerque Bernalillo County Water Utility Authority,WATER RESOURCES
Albuquerque Academy,Albuquerque Bernalillo County Water Utility Authority,WATER RESOURCES
Albuquerque Bernalillo County Water Authority,Albuquerque Cab Company,TRANSPORTATION
Albuquerque Bernalillo County Water Utility Author,Albuquerque Collegiate Charter School,EDUCATION
Albuquerque Cab Company,Albuquerque Down Racetrack & CASINO & GAMING,CASINO & GAMING
Albuquerque Collegiate Charter School,"Albuquerque Economic Development, Inc.",ECONOMIC & SUSTAINABLE DEVELOPMENT
Albuquerque Down Racetrack & Casino,Albuquerque HEALTHCARE Care for the Homeless,HEALTHCARE
"Albuquerque Economic Development, Inc.",Albuquerque Hispano Chamber of Commerce,BANKING & FINANCE
Albuquerque Health Care for the Homeless,Albuquerque International Balloon Fiesta,TOURISM
Albuquerque Hispano Chamber of Commerce,Albuquerque International Balloon Fiesta,TOURISM
Albuquerque International Balloon Fiesta,Albuquerque Metropolitan Arroyo Flood Control Authority,WATER RESOURCES
"Albuquerque International Balloon Fiesta, Inc. ",Albuquerque Museum Foundation,ARTS & CULTURE
Albuquerque Metropolitan Arroyo Flood Control Auth,Albuquerque Police Officers Association,LAW ENFORCEMENT & CRIME
