First Name,Last Name,Description,IsContribution,Amount,Date Contribution,Contribution/Expenditure On Behalf Of,Name of Candidate/Public Official/Ballot Issue,Expenditure Purpose,Beneficiary,Filing Period,Date Added
Raymond ,Sanchez,Candidate,2,250,10/12/2020,Raymond G. Sanchez,Elizabeth Thompson,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:44
Raymond ,Sanchez,Candidate,2,200,10/28/2020,Raymond G. Sanchez,Antoinette Sedillo Lopez,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:43
Raymond ,Sanchez,Candidate,2,300,10/28/2020,Raymond G. Sanchez,Pamela Cordova,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:42
Raymond ,Sanchez,Candidate,2,250,10/20/2020,Raymond G. Sanchez,Dayan Hochman Vigil,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:41
Raymond ,Sanchez,Candidate,2,300,10/20/2020,Raymond G. Sanchez,Candie Sweetser,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:39
Raymond ,Sanchez,Candidate,2,350,10/20/2020,Raymond G. Sanchez,Elizabeth Stefanics,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:39
Raymond ,Sanchez,Candidate,2,350,10/20/2020,Raymond G. Sanchez,Mimi Stewart,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:38
Raymond ,Sanchez,Candidate,2,250,10/20/2020,Raymond G. Sanchez,Bill O'Neill,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:37
Raymond ,Sanchez,Candidate,2,400,10/20/2020,Raymond G. Sanchez,Gerald Ortiz y Pino,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:37
Raymond ,Sanchez,Candidate,2,500,10/20/2020,Raymond G. Sanchez,Katy Duhigg,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:36
Raymond ,Sanchez,Candidate,2,250,10/20/2020,Raymond G. Sanchez,Eliseo Alcon,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:36
Raymond ,Sanchez,Candidate,2,200,10/20/2020,Raymond G. Sanchez,Art De La Cruz,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:35
Raymond ,Sanchez,Candidate,2,300,10/20/2020,Raymond G. Sanchez,Matthew McQueen,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:34
Raymond ,Sanchez,Candidate,2,350,10/20/2020,Raymond G. Sanchez,Harry Garcia,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:34
Raymond ,Sanchez,Candidate,2,200,10/20/2020,Raymond G. Sanchez,Jane Powdrell,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:33
Raymond ,Sanchez,Candidate,2,200,10/20/2020,Raymond G. Sanchez,William Rehm,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:33
